Epoch,accuracy,loss,val_accuracy,val_loss
1,0.4375,3.5828,0.3481,3.5482
2,0.7913,2.7043,0.3481,3.4344
3,0.8875,2.3244,0.3481,3.3002
4,0.8935,2.1864,0.3481,3.2422
