Epoch,accuracy,loss,val_accuracy,val_loss
1,0.4627,3.5415,0.0584,3.7866
2,0.8237,2.6513,0.0584,3.5943
3,0.8776,2.3226,0.3481,3.4329
4,0.9317,2.1242,0.3481,3.2611
5,0.9491,2.035,0.3481,3.2082
6,0.9531,1.9833,0.3481,3.1802
