Epoch,accuracy,loss,val_accuracy,val_loss
1,0.5445,3.2879,0.4688,5.4245
2,0.8676,2.4391,0.7968,2.7412
3,0.9111,2.1721,0.8753,2.2844
4,0.9198,2.043,0.9215,2.054
5,0.9656,1.932,0.9336,1.9446
6,0.9778,1.8653,0.9517,1.8975
7,0.9615,1.8541,0.9477,1.8942
8,0.9846,1.7813,0.9276,1.9506
9,0.9733,1.7999,0.9477,1.9635
