Epoch,accuracy,loss,val_accuracy,val_loss
1,0.4447,3.5565,0.326,3.6323
2,0.8147,2.6037,0.1127,3.4762
3,0.8944,2.2881,0.326,3.2464
4,0.9368,2.1221,0.2676,3.1734
